City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,14.59,77,96,5.38,ZA,1695680390
1,ayancik,41.9447,34.5861,20.65,70,0,2.4,TR,1695680621
2,ambodifotatra,-16.9833,49.85,23.83,71,41,4.51,MG,1695680621
3,bartica,6.4,-58.6167,28.18,70,96,2.81,GY,1695680621
4,chonchi,-42.6128,-73.8092,10.56,72,85,2.1,CL,1695680622
5,salanso,12.1833,-4.0833,26.36,72,85,1.6,BF,1695680622
6,adamstown,-25.066,-130.1015,20.78,74,78,9.25,PN,1695680622
7,banamba,13.55,-7.45,27.09,52,19,4.16,ML,1695680622
8,anadyr,64.75,177.4833,3.28,100,75,5.0,RU,1695680623
9,las heras,-46.5419,-68.9359,10.35,34,1,5.3,AR,1695680623
10,port-aux-francais,-49.35,70.2167,1.2,67,100,12.77,TF,1695680623
11,smara,26.7384,-11.6719,22.84,57,89,5.71,EH,1695680623
12,benjamin aceval,-24.9667,-57.5667,31.08,20,23,2.25,PY,1695680623
13,alaghsas,17.0187,8.0168,35.26,13,12,4.31,NE,1695680624
14,port alfred,-33.5906,26.891,16.39,70,91,3.79,ZA,1695680624
15,bilibino,68.0546,166.4372,-1.87,82,100,0.22,RU,1695680624
16,porto tolle,44.9497,12.3245,19.98,73,0,0.48,IT,1695680624
17,waitangi,-43.9535,-176.5597,13.79,97,100,4.47,NZ,1695680624
18,invercargill,-46.4,168.35,8.22,64,5,0.38,NZ,1695680624
19,kitale,1.0157,35.0062,13.16,97,41,0.39,KE,1695680625
20,lompoc,34.6391,-120.4579,27.79,68,20,6.71,US,1695680455
21,ushuaia,-54.8,-68.3,8.81,46,20,3.6,AR,1695680625
22,mhamid,29.82,-5.72,32.01,16,2,3.8,MA,1695680625
23,robertsganj,24.7,83.0667,24.21,87,100,1.1,IN,1695680625
24,klyuchi,52.2667,79.1667,8.61,90,100,4.81,RU,1695680626
25,nar'yan-mar,67.6713,53.087,4.07,85,32,5.45,RU,1695680626
26,likhovskoy,48.1519,40.1792,16.3,46,4,2.49,RU,1695680626
27,borogontsy,62.6683,131.1683,0.93,89,64,1.17,RU,1695680626
28,carnarvon,-24.8667,113.6333,15.96,60,0,9.44,AU,1695680626
29,praia da vitoria,38.7333,-27.0667,21.14,78,40,2.62,PT,1695680627
30,ilulissat,69.2167,-51.1,0.01,80,20,6.17,GL,1695680627
31,yellowknife,62.456,-114.3525,11.9,71,20,2.57,CA,1695680627
32,longyearbyen,78.2186,15.6401,-3.09,80,75,0.0,SJ,1695680627
33,west island,-12.1568,96.8225,24.99,78,100,5.66,CC,1695680627
34,albany,42.6001,-73.9662,18.36,83,96,0.89,US,1695680536
35,san antonio de pale,-1.4014,5.6325,24.77,86,71,6.07,GQ,1695680628
36,badger,64.8,-147.5333,10.07,52,20,1.34,US,1695680628
37,port augusta,-32.5,137.7667,16.06,63,0,3.2,AU,1695680628
38,lensk,60.7253,114.9278,7.33,94,12,0.95,RU,1695680629
39,tutoia,-2.7619,-42.2744,26.64,83,9,5.64,BR,1695680629
40,karratha,-20.7377,116.8463,24.11,35,0,3.21,AU,1695680629
41,orange,33.7,-117.7675,33.71,56,20,5.14,US,1695680629
42,grand falls-windsor,48.9332,-55.6649,6.95,83,10,1.71,CA,1695680592
43,tshabong,-26.05,22.45,11.9,66,9,7.15,BW,1695680629
44,grytviken,-54.2811,-36.5092,-8.12,76,17,4.43,GS,1695680630
45,isafjordur,66.0755,-23.124,6.4,96,100,8.92,IS,1695680630
46,vadso,70.0744,29.7487,7.09,87,75,7.2,NO,1695680630
47,kununurra,-15.7667,128.7333,21.99,88,36,0.0,AU,1695680630
48,puerto natales,-51.7236,-72.4875,6.32,67,26,2.98,CL,1695680630
49,luganville,-15.5333,167.1667,25.45,62,93,4.57,VU,1695680630
50,tianpeng,30.9866,103.9393,19.56,92,100,0.44,CN,1695680631
51,bethel,41.3712,-73.414,14.72,87,100,4.63,US,1695680631
52,punta arenas,-53.15,-70.9167,8.06,57,0,11.32,CL,1695680467
53,hithadhoo,-0.6,73.0833,27.38,77,79,2.96,MV,1695680631
54,cabo san lucas,22.8909,-109.9124,37.56,43,0,2.57,MX,1695680539
55,sao joao da barra,-21.6403,-41.0511,24.05,92,32,3.19,BR,1695680631
56,holualoa,19.6228,-155.9522,27.53,75,40,5.14,US,1695680359
57,aasiaat,68.7098,-52.8699,-2.39,88,96,3.12,GL,1695680632
58,udachny,66.4167,112.4,1.92,69,3,8.09,RU,1695680632
59,edinburgh of the seven seas,-37.0676,-12.3116,15.38,96,100,16.62,SH,1695680343
60,banikoara,11.2985,2.4386,24.96,78,18,1.93,BJ,1695680632
61,tchibanga,-2.85,11.0333,22.78,94,67,1.05,GA,1695680633
62,huntingdon,52.3305,-0.1865,15.01,79,100,3.63,GB,1695680633
63,callao,-12.0667,-77.15,20.16,77,100,3.6,PE,1695680139
64,flying fish cove,-10.4217,105.6791,23.82,88,75,5.66,CX,1695680633
65,ciudad lazaro cardenas,17.9583,-102.2,30.73,73,33,4.58,MX,1695680633
66,porto torres,40.835,8.3972,16.1,68,0,1.88,IT,1695680633
67,st. john's,47.5649,-52.7093,8.15,82,100,8.49,CA,1695680433
68,sinop,41.7711,34.8709,15.74,81,0,1.43,TR,1695680634
69,bandarbeyla,9.4942,50.8122,25.68,79,64,8.66,SO,1695680634
70,neiafu,-18.65,-173.9833,27.38,61,20,12.0,TO,1695680634
71,port macquarie,-31.4333,152.9167,19.94,54,22,1.78,AU,1695680173
72,lebu,-37.6167,-73.65,9.13,84,100,3.72,CL,1695680634
73,tura,25.5198,90.2201,22.37,95,61,1.15,IN,1695680318
74,aral,40.5156,81.2636,17.57,33,85,3.7,CN,1695680635
75,college,64.8569,-147.8028,10.11,54,0,0.45,US,1695680635
76,utrik,11.2278,169.8474,28.34,74,100,7.04,MH,1695680635
77,shimoda,34.6667,138.95,22.79,80,49,5.11,JP,1695680635
78,teknaf,20.8624,92.3058,25.96,90,84,2.11,BD,1695680635
79,changping,40.2186,116.2197,13.8,72,100,0.38,CN,1695680376
80,iqaluit,63.7506,-68.5145,4.85,93,100,4.63,CA,1695680636
81,idri,27.5,13.2667,26.22,41,0,5.98,LY,1695680636
82,aldershot,51.2483,-0.7639,15.01,75,100,2.57,GB,1695680637
83,ust-nera,64.5667,143.2,-0.5,80,100,2.94,RU,1695680637
84,labytnangi,66.6572,66.4183,6.53,72,100,2.73,RU,1695680637
85,jianshui,23.6363,102.8264,16.69,95,0,1.7,CN,1695680637
86,ribeira grande,38.5167,-28.7,21.54,89,96,1.79,PT,1695680637
87,san-pedro,4.7485,-6.6363,24.07,94,77,1.91,CI,1695680345
88,barah,13.7,30.3667,28.09,61,11,5.46,SD,1695680638
89,hamilton,39.1834,-84.5333,26.66,65,0,4.12,US,1695680400
90,pariaman,-0.619,100.12,21.03,82,99,1.96,ID,1695680638
91,cidreira,-30.1811,-50.2056,16.93,85,100,5.29,BR,1695680638
92,thompson,55.7435,-97.8558,19.09,72,40,4.63,CA,1695680392
93,georgetown,5.4112,100.3354,26.08,96,20,1.54,MY,1695680639
94,chibougamau,49.9168,-74.3659,15.79,44,0,3.09,CA,1695680639
95,edd,13.9297,41.6925,32.37,64,44,2.35,ER,1695680639
96,saipan,15.1355,145.701,29.39,84,40,4.63,MP,1695680639
97,whitehorse,60.7161,-135.0538,4.45,88,100,2.06,CA,1695680639
98,kerikeri,-35.2268,173.9474,17.73,79,5,1.34,NZ,1695680640
99,egersund,58.4513,5.9997,15.6,94,66,3.49,NO,1695680640
100,lamego,41.0974,-7.8099,13.21,59,68,0.98,PT,1695680640
101,chernyshevskiy,63.0128,112.4714,2.94,90,58,1.42,RU,1695680640
102,saudarkrokur,65.7461,-19.6394,6.9,93,95,2.26,IS,1695680640
103,roma,43.2128,-75.4557,20.46,70,20,3.6,US,1695680640
104,bratsk,56.1325,101.6142,8.27,91,95,4.12,RU,1695680641
105,iskateley,67.6803,53.1512,4.0,85,33,5.46,RU,1695680487
106,whakatane,-37.9585,176.9854,16.05,99,100,0.89,NZ,1695680641
107,chitose,42.8194,141.6522,18.04,77,75,3.09,JP,1695680641
108,fakenham,52.83,0.8477,14.93,76,100,3.13,GB,1695680642
109,port mathurin,-19.6833,63.4167,22.51,76,19,8.35,MU,1695680642
110,hasaki,35.7333,140.8333,22.94,74,47,2.97,JP,1695680642
111,alice springs,-23.7,133.8833,16.75,27,2,2.57,AU,1695680642
112,corsham,51.4343,-2.1844,15.32,95,99,2.7,GB,1695680643
113,constitucion,-35.3333,-72.4167,11.61,83,68,2.5,CL,1695680643
114,nemuro,43.3236,145.575,17.0,80,100,3.69,JP,1695680643
115,blackmans bay,-43.0167,147.3167,10.41,77,46,1.8,AU,1695680644
116,rio preto da eva,-2.6994,-59.6997,33.31,37,98,1.14,BR,1695680644
117,salto,-31.3833,-57.9667,13.14,75,100,6.11,UY,1695680627
118,olonkinbyen,70.9221,-8.7187,4.5,88,100,9.02,SJ,1695680644
119,novodvinsk,64.4165,40.8122,8.82,94,85,3.22,RU,1695680645
120,zhangatas,43.5667,69.75,12.61,51,0,5.46,KZ,1695680645
121,nyurba,63.2842,118.3319,7.13,95,100,1.8,RU,1695680645
122,kyzyl,51.7,94.45,2.61,65,100,0.77,RU,1695680645
123,jamestown,42.097,-79.2353,18.9,84,100,3.09,US,1695680643
124,okha,53.5739,142.9478,7.09,73,9,1.86,RU,1695680646
125,mollendo,-17.0231,-72.0147,18.6,79,62,2.8,PE,1695680646
126,kasane,-17.8167,25.15,27.17,32,99,1.47,BW,1695680646
127,padang,-0.9492,100.3543,21.03,79,99,1.73,ID,1695680646
128,inirida,3.8653,-67.9239,27.43,81,94,1.61,CO,1695680647
129,afaahiti,-17.75,-149.2833,23.93,90,100,7.17,PF,1695680647
130,laela,-8.5667,32.05,21.1,47,75,0.33,TZ,1695680647
131,heunghae,36.1125,129.3522,21.27,96,100,2.1,KR,1695680647
132,margaret river,-33.95,115.0667,11.66,76,9,0.77,AU,1695680647
133,"laikit, laikit ii (dimembe)",1.4792,124.9735,25.47,61,20,4.63,ID,1695680648
134,howard springs,-12.497,131.047,24.9,77,47,1.56,AU,1695680648
135,mount pearl,47.5166,-52.7813,7.69,82,100,7.2,CA,1695680648
136,midvagur,62.0511,-7.1939,11.46,93,100,5.14,FO,1695680648
137,kas,36.2018,29.6377,26.91,42,0,2.36,TR,1695680648
138,palafrugell,41.9174,3.1631,16.86,68,1,1.14,ES,1695680649
139,ballina,-28.8667,153.5667,19.32,66,99,2.52,AU,1695680649
140,chingola,-12.529,27.8838,20.91,32,41,1.66,ZM,1695680649
141,shingu,33.7333,135.9833,22.67,79,62,2.51,JP,1695680649
142,hawaiian paradise park,19.5933,-154.9731,27.8,71,0,3.09,US,1695680650
143,ilhabela,-23.7781,-45.3581,22.65,96,99,2.98,BR,1695680650
144,dolores,-36.3132,-57.6792,9.27,58,12,4.3,AR,1695680650
145,luanda,-8.8368,13.2343,23.0,83,20,4.12,AO,1695680525
146,minas de marcona,-15.2119,-75.1103,15.25,71,4,8.22,PE,1695680651
147,bardai,11.65,7.2333,23.49,83,78,3.29,NG,1695680651
148,forster,-32.1667,152.5167,20.16,60,2,1.35,AU,1695680651
149,patnagarh,20.7167,83.15,24.38,91,100,0.8,IN,1695680651
150,lihue,21.9789,-159.3672,29.58,59,0,5.14,US,1695680651
151,fauske,67.2588,15.3918,13.02,85,78,3.16,NO,1695680652
152,bei'an,24.5399,109.533,23.51,91,2,1.68,CN,1695680652
153,carutapera,-1.195,-46.02,26.97,79,18,4.84,BR,1695680652
154,lashkar gah,31.5938,64.3716,18.94,17,0,2.61,AF,1695680652
155,tolanaro,-25.0319,46.9987,23.04,83,20,9.77,MG,1695680652
156,kapuskasing,49.4169,-82.4331,19.05,52,75,3.6,CA,1695680653
157,tiksi,71.6872,128.8694,3.77,96,100,10.38,RU,1695680653
158,kodiak,57.79,-152.4072,10.73,58,20,5.66,US,1695680653
159,enewetak,11.3474,162.3373,29.02,77,99,5.1,MH,1695680653
160,tsiombe,-25.3,45.4833,23.34,60,4,3.98,MG,1695680653
161,murzuq,25.9155,13.9184,27.81,33,0,5.03,LY,1695680654
162,east london,-33.0153,27.9116,17.64,59,85,6.19,ZA,1695680654
163,qaqortoq,60.7167,-46.0333,2.06,55,50,2.46,GL,1695680603
164,dudinka,69.4058,86.1778,3.68,98,100,2.44,RU,1695680654
165,fuglafjordur,62.244,-6.814,11.26,86,87,11.25,FO,1695680654
166,inda silase,14.1031,38.2829,16.47,88,100,0.31,ET,1695680654
167,bani suwayf,29.0744,31.0979,27.27,37,0,4.95,EG,1695680655
168,cape canaveral,28.4058,-80.6048,30.04,71,0,5.66,US,1695680655
169,mayen,50.3333,7.2167,15.45,73,14,0.88,DE,1695680655
170,doaba,33.4244,70.7364,22.29,61,0,1.38,PK,1695680655
171,santarem,-2.4431,-54.7083,31.07,70,0,2.06,BR,1695680655
172,tindouf,27.6711,-8.1474,31.25,16,0,3.6,DZ,1695680656
173,rajo khanani,24.9841,68.8536,25.16,77,5,3.04,PK,1695680656
174,nguigmi,14.2495,13.1092,31.34,40,24,2.54,NE,1695680656
175,kone,-21.0595,164.8658,21.85,52,15,3.39,NC,1695680656
176,biloela,-24.4167,150.5,18.49,60,0,1.46,AU,1695680656
177,kashgar,39.4547,75.9797,15.56,31,20,6.0,CN,1695680657
178,north bend,43.4065,-124.2243,17.37,82,75,6.17,US,1695680657
179,san patricio,28.017,-97.5169,35.4,51,74,7.43,US,1695680657
180,la manga del mar menor,37.6413,-0.7165,24.0,79,20,2.57,ES,1695680657
181,embi,48.8264,58.1442,17.96,43,53,1.96,KZ,1695680657
182,ha'il,27.5219,41.6907,32.01,18,0,2.06,SA,1695680658
183,broome,42.2506,-75.833,16.43,90,100,2.68,US,1695680658
184,yomju-up,39.8933,124.5981,16.41,75,73,1.61,KP,1695680658
185,sambava,-14.2667,50.1667,20.49,87,44,4.36,MG,1695680658
186,laguna,38.421,-121.4238,27.97,42,0,3.09,US,1695680658
187,acoyapa,11.9703,-85.1711,26.05,58,38,4.77,NI,1695680659
188,kasongo-lunda,-6.4667,16.8167,24.2,79,40,0.53,CD,1695680659
189,papatowai,-46.5619,169.4708,9.16,65,2,2.6,NZ,1695680659
190,quellon,-43.1167,-73.6167,7.45,66,67,5.02,CL,1695680659
191,gandajika,-6.75,23.95,24.09,66,28,1.25,CD,1695680660
192,terrace,54.5163,-128.6035,11.95,93,100,6.17,CA,1695680426
193,lerwick,60.1545,-1.1494,13.0,78,17,8.53,GB,1695680660
194,garden city,42.3256,-83.331,21.11,76,100,2.06,US,1695680524
195,krasnopillya,50.7746,35.2597,16.3,53,55,2.99,UA,1695680660
196,bredasdorp,-34.5322,20.0403,12.14,86,57,4.73,ZA,1695680660
197,onguday,50.75,86.15,1.23,98,97,1.19,RU,1695680661
198,saynshand,44.8824,110.1163,10.34,44,0,8.36,MN,1695680661
199,tazacorte,28.629,-17.9293,24.54,93,20,2.57,ES,1695680661
200,toungo,8.1167,12.05,22.91,92,91,1.36,NG,1695680661
201,pionerskiy,54.9508,20.2275,12.64,75,88,4.35,RU,1695680661
202,pisco,-13.7,-76.2167,20.03,73,0,9.26,PE,1695680662
203,touros,-5.1989,-35.4608,25.29,77,1,6.31,BR,1695680662
204,nasir,15.5894,32.5634,30.71,49,96,7.22,SD,1695680662
205,ondjiva,-17.0667,15.7333,22.02,8,1,1.03,AO,1695680662
206,isangel,-19.55,169.2667,23.06,64,75,2.57,VU,1695680662
207,karlivka,49.4567,35.1295,16.63,36,50,2.85,UA,1695680663
208,bom jesus,-9.0744,-44.3586,31.54,31,58,0.94,BR,1695680395
209,whangarei,-35.7317,174.3239,15.78,50,3,1.72,NZ,1695680663
210,dunay,42.8803,132.3375,16.52,81,51,2.78,RU,1695680663
211,ust'-ilimsk,58.0006,102.6619,2.93,94,15,2.43,RU,1695680663
212,soe,-9.8607,124.284,17.33,68,21,1.55,ID,1695680664
213,suva,-18.1416,178.4415,24.71,100,75,2.57,FJ,1695680566
214,bu'aale,1.0833,42.5833,23.95,82,43,3.97,SO,1695680664
215,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,58,20,3.0,RU,1695680456
216,stanley,54.868,-1.6985,13.36,87,0,3.09,GB,1695680647
217,arraial do cabo,-22.9661,-42.0278,22.98,100,75,5.14,BR,1695680664
218,cao lanh,10.45,105.6333,24.97,93,100,2.81,VN,1695680665
219,mana,5.6592,-53.7767,27.96,81,8,4.53,GF,1695680665
220,mahajanga,-15.7167,46.3167,22.01,73,20,1.54,MG,1695680665
221,letlhakeng,-24.0944,25.0298,13.31,45,0,6.53,BW,1695680665
222,puerto ayora,-0.7393,-90.3518,28.98,91,85,3.13,EC,1695680667
223,fort st. john,56.2499,-120.8529,7.94,93,100,3.09,CA,1695680667
224,tralee,52.2704,-9.7026,15.48,78,69,7.25,IE,1695680667
225,tandil,-37.3217,-59.1332,12.6,54,82,3.1,AR,1695680667
226,phalodi,27.1333,72.3667,30.49,50,19,4.76,IN,1695680668
227,akyazi,40.685,30.6222,20.1,91,100,0.34,TR,1695680668
228,sungai penuh,-2.0833,101.3833,17.31,95,87,0.52,ID,1695680668
229,acarau,-2.8856,-40.12,26.07,81,1,8.02,BR,1695680526
230,bathsheba,13.2167,-59.5167,30.34,74,20,5.14,BB,1695680668
231,pyetrykaw,52.1289,28.4921,13.86,73,0,2.56,BY,1695680669
232,namdrik,5.5994,168.1028,27.63,81,100,3.91,MH,1695680669
233,la'ie,21.6477,-157.9253,30.98,66,11,3.58,US,1695680669
234,taulaga,-11.0553,-171.0883,27.59,80,76,9.58,AS,1695680669
235,lake monticello,37.9232,-78.3347,20.81,91,100,3.0,US,1695680670
236,ormond-by-the-sea,29.3491,-81.0665,29.13,81,40,4.12,US,1695680670
237,puerto baquerizo moreno,-0.9,-89.6,26.55,69,40,5.14,EC,1695680670
238,farafangana,-22.8167,47.8333,20.5,88,2,3.51,MG,1695680670
239,piacabucu,-10.4056,-36.4344,24.35,85,4,4.62,BR,1695680670
240,wailua homesteads,22.0669,-159.378,29.24,59,0,5.14,US,1695680671
241,cadale,2.7603,46.3222,25.46,85,93,8.0,SO,1695680671
242,susuman,62.7833,148.1667,-3.57,78,15,1.14,RU,1695680671
243,svetlyy,54.675,20.1347,12.76,69,63,3.47,RU,1695680671
244,el granada,37.5027,-122.4694,27.18,50,100,7.72,US,1695680672
245,slave lake,55.2834,-114.769,20.99,32,40,9.77,CA,1695680553
246,chadron,42.8294,-102.9999,24.86,33,0,4.12,US,1695680672
247,at taj,24.2049,23.2857,26.32,20,0,3.32,LY,1695680672
248,remire-montjoly,4.9167,-52.2667,28.02,83,0,3.09,GF,1695680672
249,atafu village,-8.5421,-172.5159,28.52,75,22,6.53,TK,1695680672
250,stung treng,13.5259,105.9683,23.09,99,100,1.09,KH,1695680673
251,khandyga,62.6667,135.6,0.64,87,72,1.16,RU,1695680673
252,turaif,31.6725,38.6637,24.14,41,0,4.12,SA,1695680673
253,siem reap,13.5,104.0,23.89,96,100,2.06,KH,1695680673
254,zahedan,29.4963,60.8629,14.22,23,0,0.6,IR,1695680673
255,san javier,37.8063,-0.8374,23.84,74,20,2.57,ES,1695680673
256,tostado,-29.232,-61.7692,16.66,81,39,1.34,AR,1695680674
257,minot air force base,48.4209,-101.3391,21.1,74,100,2.57,US,1695680674
258,la passe,45.5549,-0.8967,17.77,61,0,3.38,FR,1695680674
259,cockburn town,21.4612,-71.1419,29.12,79,100,7.75,TC,1695680674
260,hosakote,14.2769,77.1699,22.87,82,100,4.31,IN,1695680674
261,poronaysk,49.2167,143.1167,13.08,74,100,1.09,RU,1695680425
262,makarov,48.6333,142.8,13.89,78,91,3.12,RU,1695680675
263,lata,40.1629,-8.3327,18.84,84,58,0.61,PT,1695680675
264,howrah,22.5892,88.3103,27.0,94,40,0.0,IN,1695680675
265,sarmiento,-45.5882,-69.07,11.24,36,0,4.86,AR,1695680675
266,geraldton,-28.7667,114.6,10.23,93,2,4.63,AU,1695680675
267,tyukhtet,56.5389,89.3011,-0.07,94,4,2.25,RU,1695680676
268,inhambane,-23.865,35.3833,22.36,87,2,5.38,MZ,1695680676
269,nuuk,64.1835,-51.7216,2.34,100,100,4.63,GL,1695680676
270,itapaci,-14.9508,-49.5494,32.67,32,88,1.22,BR,1695680676
271,balsas,-7.5325,-46.0356,34.13,31,81,3.13,BR,1695680676
272,jining,35.405,116.5814,16.78,92,95,1.45,CN,1695680676
273,eydhafushi,5.1033,73.0708,27.87,77,83,5.68,MV,1695680677
274,avarua,-21.2078,-159.775,23.03,49,75,6.69,CK,1695680677
275,cheremukhovo,60.3484,59.9851,10.25,81,15,3.2,RU,1695680677
276,sandnessjoen,66.0217,12.6316,11.29,81,100,12.49,NO,1695680677
277,caluula,11.9661,50.7569,30.35,67,23,2.87,SO,1695680677
278,badiyah,22.45,58.8,25.41,65,39,0.91,OM,1695680678
279,nishinoomote,30.7333,131.0,27.05,78,16,8.08,JP,1695680678
280,akureyri,65.6835,-18.0878,7.96,81,100,2.57,IS,1695680678
281,jinchang,38.4953,102.1739,10.92,54,7,0.79,CN,1695680678
282,colonia,50.9333,6.95,16.01,79,0,1.54,DE,1695680678
283,port elizabeth,-33.918,25.5701,16.72,91,75,6.71,ZA,1695680449
284,guerrero negro,27.9769,-114.0611,24.43,61,0,10.27,MX,1695680679
285,portland,45.5234,-122.6762,18.68,80,100,3.13,US,1695680077
286,san salvador,13.6894,-89.1872,28.26,83,40,4.12,SV,1695680679
287,kolonia,50.9333,6.95,16.01,79,0,1.54,DE,1695680544
288,port saint john's,-31.6229,29.5448,17.21,74,9,0.84,ZA,1695680679
